CharacterID	MaxSpeakers	Gender	Age	Status	Divinty	FCBHCharacter	SDBH	Louw-Nida
2 other disciples	2	Male	Adult	 	Not Peter (Simon), Thomas, Nathaniel, James, or John	 	 	 
250 Israelite leaders	250	Male	Adult	 	 	 	 	 
a Jew	1	Male	Adult	 	 	 	 	 
Aaron	1	Male	Adult	 	 	 	000172001001000	93.1
Abednego	1	Male	Adult	 	original Hebrew name: Azariah	 	 	 
Abigail	1	Female	Adult	 	 	 	000025001001000|000025001002000	
Abijah, king of Judah	1	Male	Adult	 	 	 	000028001003000|000028001006000|000028001002000|000028001005000|000028001007000|000028001008000	93.4a|93.4b
Abimelech 1, king of the Philistines (in Gerar)	1	Male	Adult	 	 	Abimelech 1st	000039001001000|000039001003000|000039001002000	
Abimelech 2, king of the Philistines (in Gerar)	1	Male	Adult	 	 	Abimelech 2nd	000039001001000|000039001003000|000039001002000	
Abimelech, son of Gideon (Jerubbaal)	1	Male	Adult	 	 	Abimelech 3rd	000039001001000|000039001003000|000039001002000	
Abiram	1	Male	Adult	 	son of Eliab (Reubenite)	 	000047001001000	
Abishai, Joab's brother	1	Male	Adult	 	 	 	000051001001000|000087001001000	
Abner, commander of Saul's army	1	Male	Adult	 	 	 	000073001001000	
Abraham (Abram)	1	Male	Adult	 	 	 	000084001001000	93.7|1.16 93.7
Abraham's chief servant	1	Male	Adult	 	 	Servant of Abraham	 	 
Absalom's men	-1	Male	Adult	 	 	Servant of Absalom	 	 
Absalom's secret messengers	-1	Male	Adult	 	 	 	 	 
Absalom, son of David	1	Male	Adult	 	 	Absolom	000088001001000|000088001002000	
Achan	1	Male	Adult	 	 	 	005427001001000	
Achish, king of Gath	1	Male	Adult	 	 	 	000372001001000	
Achsah, Caleb's daughter	1	Female	Adult	 	 	Acsah (female)	005430001001000	
Adam	1	Male	Adult	 	 	 	000124002001000	93.11
Adoni-Bezek	1	Male	Adult	 	 	 	 	 
Adoni-Zedek, king of Jerusalem	1	Male	Adult	 	 	 	 	 
Adonijah, son of David	1	Male	Adult	 	 	 	000139001001000|000140001001000|000139001002000	
advisers to king	-1	Male	Adult	 	 	Chaldean	 	 
Agabus the prophet	1	Male	Adult	 	 	 		93.8
Agag, king of the Amalekites	1	Male	Adult	 	 	 	000091001002000	
Agur	1	Male	Adult	 	 	 	000095001001000	
Ahab, king of Israel	1	Male	Adult	 	 	 	000240001001000|000240001002000	
Ahaz, king of Judah	1	Male	Adult	 	 	 	000255001001000	93.53
Ahaziah, king of Israel	1	Male	Adult	 	 	 	000258001001000|000258001002000	
Ahijah the priest	1	Male	Adult	 	 	Priest	000265001003000|000265001004000|000265001005000|000265001007000|000265001008000	
Ahijah the prophet	1	Male	Adult	 	 	 	000265001003000|000265001004000|000265001005000|000265001007000|000265001008000	
Ahimaaz (messenger)	1	Male	Adult	 	 	 	000274001001000|000274001002000|000274001003000	
Ahimelech the priest (son of Ahitub)	1	Male	Adult	 	 	Ahimelech	000272001001000|000272001002000	
Ahithophel	1	Male	Adult	 	 	 	000286001001000|000286001001000 001439001001000	
all in Nazareth synagogue	-1	 	Adult	 	 	 	 	 
all in temple	-1	 	Adult	 	 	 	 	 
all seeking God	-1	 	Adult	 	 	 	 	 
all the earth	-1	 	 	 	 	 	 	 
all the elders	-1	Male	Elder	 	elders of the church in Jerusalem	 	 	 
all who heard (in synagogues)	-1	 	Adult	 	 	 	 	 
altar	1	PreferMale	Adult	 	 	 	 	 
Amalekite (young man from Saul's camp)	1	Male	YoungAdult	 	 	Amalekite	 	 
Amasa	1	Male	Adult	 	leader in Ephraim	 	005526001001000	
Amasai, chief of thirty	1	Male	Adult	 	 	 	005527001001000|005527001003000|005527001002000	
Amaziah, king of Judah	1	Male	Adult	 	 	 	000511001001000|000511001002000|000511001003000|000511001004000	
Amaziah, priest of Bethel	1	Male	Adult	 	 	Amaziah (priest)	000511001001000|000511001002000|000511001003000|000511001004000	
ambassador	-1	Male	Adult	 	 	Envoy	 	 
ambassador sent by sea	-1	Male	Adult	 	 	Ambassador	 	 
Ammonite nobles	-1	Male	Adult	 	 	Noble	 	 
Ammonites	-1	Male	Adult	 	 	 	 	 
Amnon, son of David	1	Male	Adult	 	 	 	000503001001000|000503001002000	
Amos	1	Male	Adult	 	 	 	005491001001000	93.23a|93.23b
Ananias (Annas), the high priest (father-in-law of Caiaphas)	1	Male	Elder	 	 	 		93.24a|93.24b|93.24c
Ananias of Damascus	1	Male	Adult	 	 	 		93.24a|93.24b|93.24c
Ananias of Jerusalem	1	Male	Adult	 	 	 		93.24a|93.24b|93.24c
Andrew	1	Male	Adult	 	 	 		93.25
angel	-1	Male	Adult	 	 	 	 	 
angel (one of the seven)	1	 	Adult	 	 	 	 	 
angel flying directly overhead	1	 	Adult	 	 	 	 	 
angel flying directly overhead, second	1	 	Adult	 	 	 	 	 
angel flying directly overhead, third	1	 	Adult	 	 	 	 	 
angel or messenger (Greek variant: someone speaking to John)	1	 	Adult	 	 	 	 	 
angel over waters	1	 	Adult	 	 	 	 	 
angel standing in sun	1	 	Adult	 	 	 	 	 
angel standing on sea and land	1	 	Adult	 	 	 	 	 
angel who talked with Zechariah	1	 	Adult	 	 	 	 	 
angel who wrestled with Jacob	1	Male	Adult	 	 	 	 	 
angel, another, coming down from heaven	1	 	Adult	 	 	 	 	 
angel, coming out of temple	1	 	Adult	 	 	 	 	 
angel, coming out of temple, another	1	 	Adult	 	 	 	 	 
angel, powerful	1	 	Adult	 	 	 	 	 
angelic riders or horses (in vision)	-1	PreferMale	 	 	 	 	 	 
angels at Sodom, two	2	Male	Adult	 	 	 	 	 
angels in white, two	2	Male	Adult	 	 	 	 	 
angels, all the	-1	 	Adult	 	 	 	 	 
angels, many	-1	 	Adult	 	 	 	 	 
Anna, prophetess	1	Female	Elder	 	 	 		93.27
another disciple of John the Baptist	1	Male	Adult	 	Became disciple of Jesus (not Andrew, Simon Peter, Philip, Nathanael, or Matthew)	 	 	 
another holy one (in vision)	1	 	Adult	 	 	 	 	 
answer from Israel	1	 	Adult	 	 	 	 	 
anyone	1	 	Adult	 	 	 	 	 
anyone with complaint for king	1	 	Adult	 	 	 	 	 
Apollos	1	Male	Adult	 	 	 		93.33
apostles, elders, and whole church at Jerusalem	-1	 	Adult	 	 	 	 	 
Aramean soldiers	-1	Male	Adult	 	 	Syrians	 	 
Araunah, the Jebusite	1	Male	Adult	 	 	 	000670001001000	
Arioch	1	Male	Adult	 	 	 	000683001001000|000683001002000	
army cry	-1	Male	Adult	 	 	 	 	 
army officer, one of	1	Male	Adult	 	 	 	 	 
army officers	-1	Male	Adult	 	 	 	 	 
Aroer, inhabitant of	-1	Male	Adult	 	 	 	005663001001000	
arrogant men	-1	Male	Adult	 	 	 	 	 
Artaxerxes, king of Persia	1	Male	Adult	 	 	 	000722001001000	
Asa, king of Judah	1	Male	Adult	 	 	 	000557001001000|000557001002000	93.48
Asahel, brother of Joab	1	Male	Adult	 	 	 	005698001001000|005698001004000	
Asaph	1	Male	Adult	 	 	 	000570001002000|000570001001000|000570001003000|000570001004000	
Asher	1	Male	Adult	 	 	 	000773001001000|000773001001000 000773002001000	93.49
assembly, whole	-1	 	Adult	 	 	 	 	 
astrologers	-1	Male	Adult	 	 	Chaldean	 	 
Athaliah, mother of Ahaziah (Queen)	1	Female	Adult	 	 	 	005752001001000||005752001003000	
attendents of Phineas' wife	-1	Female	Adult	 	 	 	 	 
authorities, governing	-1	Male	Adult	 	 	 	 	 
authorities, Philippi	-1	Male	Adult	 	 	 	 	 
Azariah the chief priest (during reign of Hezekiah)	1	Male	 	 	from the family of Zadok	Azariah (priest)	005357001001000|005357001003000|005357001022000|005357001004000|005357001005000|005357001006000|005357001007000|005357001008000|005357001011000|005357001014000|005357001015000|005357001016000|005357001018000|005357001019000|005357001020000	
Azariah the priest (during reign of Uzziah)	1	Male	 	 	 	Azariah (priest)	005357001001000|005357001003000|005357001022000|005357001004000|005357001005000|005357001006000|005357001007000|005357001008000|005357001011000|005357001014000|005357001015000|005357001016000|005357001018000|005357001019000|005357001020000	
Azariah, son of Hoshaiah	1	Male	 	 	 	 	005357001001000|005357001003000|005357001022000|005357001004000|005357001005000|005357001006000|005357001007000|005357001008000|005357001011000|005357001014000|005357001015000|005357001016000|005357001018000|005357001019000|005357001020000	
Azariah, son of Jehohanan	1	Male	 	 	leader in Ephraim	Leader	005357001001000|005357001003000|005357001022000|005357001004000|005357001005000|005357001006000|005357001007000|005357001008000|005357001011000|005357001014000|005357001015000|005357001016000|005357001018000|005357001019000|005357001020000	
Azariah, son of Oded	1	Male	 	 	 	Azariah (prophet)	005357001001000|005357001003000|005357001022000|005357001004000|005357001005000|005357001006000|005357001007000|005357001008000|005357001011000|005357001014000|005357001015000|005357001016000|005357001018000|005357001019000|005357001020000	
Baanah	1	Male	 	 	 	 	001105001001000|001105001002000|001105001003000|001105001004000	
Babylon (personified as adulteress)	1	Female	Adult	 	 	 	000831001001000	93.420
Balaam	1	Male	Adult	 	 	 	001030001001000	93.57
Balak	1	Male	Adult	 	 	 	001032001001000	93.58
Barak	1	Male	Adult	 	 	 	001199002001000	93.60
Barnabas	1	Male	Adult	 	 	 		93.65
Bartimaeus (a blind man)	1	Male	Adult	 	 	Man (Blind)		93.67
Baruch	1	Male	Adult	 	 	 	001165001001000|001165001002000|001165001003000|001165001004000	
Barzillai	1	Male	Adult	 	Gileadite	 	001172001001000|001172001003000|001172001002000	
Barzillai (old)	1	Male	Elder	 	Gileadite	 	001172001001000|001172001003000|001172001002000	
Bathsheba	1	Female	Adult	 	 	 	 	 
beam	1	 	 	 	 	 	 	 
beast from out of the earth	1	 	Adult	 	 	 	 	 
believers who came with Peter	-1	Male	Adult	 	 	 	 	 
believers who were Pharisees	-1	Male	Adult	 	 	 	 	 
believers, circumcised (in Jerusalem)	-1	Male	Adult	 	 	 	 	 
believers, one hundred twenty	120	PreferMale	Adult	 	Probably spoken by Peter or one of the other eleven disciples	 	 	 
beloved	1	Female	Adult	 	 	 	 	 
Belshazzar, king of Babylon	1	Male	Adult	 	 	 	001033001001000|001005001001000	
Ben-Hadad, king of Aram	1	Male	 	 	Ben-Hadad II (aka, Hadadezer or Adad-Idri); Aram = Syria	Ben Hadad	 	 
Benaiah, son of Jehoiada	1	Male	 	 	 	 	001061001001000|001061001002000|001059001001000|001059001003000|001061001004000|001059001004000|001059001006000|001059001007000|001059001008000|001061001006000|001059001009000	
Benjamin	1	Male	 	 	 	 	001063001001000|001063001003000	93.70
Benjamite messenger to Eli	1	Male	 	 	 	 	 	 
Benjamites	-1	 	 	 	 	 	 	 
Bera, king of Sodom	1	Male	 	 	 	King of Sodom	001197001001000	
Berekiah	1	Male	 	 	leader in Ephraim	 	001194001001000|001194001002000|001193001004000|001193001005000|001194001003000	93.61
Bernice	1	Female	 	 	 	 		93.71
Beth Shemesh, men of	-1	Male	 	 	 	 	000931001004000	
Beth Shemesh, messenger from	1	PreferMale	 	 	 	 	000931001004000	
Beth-ezel	-1	Male	 	 	 	 	 	 
Bethlehem, elders of	-1	Male	Elder	 	 	Elder		93.431
Bethuel, Rebekah's father	1	Male	Adult	 	 	 	001226001001000	
Bildad the Shuhite	1	Male	 	 	 	 	001009001001000	
Birsha, king of Gomorrah	1	Male	 	 	 	 	001204001001000	
blind man	1	Male	Adult	 	 	 	 	 
blind men, two	2	Male	Adult	 	 	Man (Blind)	 	 
Boaz	1	Male	Adult	 	 	 	001077001001000|001077001002000	93.78|93.79
Book of the Wars of Yahweh	1	PreferMale	Adult	 	 	 	 	 
boys	-1	Male	Child	 	 	Youth	 	 
bride, the (referring to the Church)	-1	PreferFemale	Adult	 	 	 	 	 
brother-in-law of widow	1	Male	Adult	 	 	 	 	 
brothers at Antioch	-1	Male	Adult	 	 	 	 	 
brothers at Ephesus	-1	Male	Adult	 	 	 	 	 
brothers at Lystra and Iconium	-1	Male	Adult	 	 	 	 	 
brothers at Puteoli	-1	Male	Adult	 	 	 	 	 
brothers at Rome	-1	Male	Adult	 	 	 	 	 
brothers at Thessalonica	-1	Male	Adult	 	 	 	 	 
brothers of beloved	-1	Male	Adult	 	 	 	 	 
brothers who hate you	-1	Male	Adult	 	 	 	 	 
buyer	1	Either	Adult	 	 	 	 	 
bystanders at Calvary, some	-1	 	Adult	 	 	 	 	 
bystanders at Calvary, the rest	-1	 	Adult	 	 	 	 	 
Caesar Augustus	1	Male	Adult	 	 	 		37.74 93.208|93.208
Caiaphas, the high priest	1	Male	Adult	 	 	High Priest		93.205
Cain	1	Male	Adult	 	 	 	006452002001000	93.206
Caleb	1	Male	Adult	 	 	 	003309001001000|003309001003000|003309001002000	
Canaanite (Syrophoenician) mother of possessed girl	1	Female	Adult	 	 	Woman (Foreigner)	 	 
Canaanites	-1	 	Adult	 	 	 	 	 
captain of ship to Italy (Rome)	1	Male	Adult	 	 	 	 	 
captain of ship to Tarshish	1	Male	Adult	 	 	Captain	 	 
captain of the temple guard	1	Male	Adult	 	 	 	 	 
captain, first	1	Male	Adult	 	 	 	 	 
captain, second	1	Male	Adult	 	 	 	 	 
captain, third	1	Male	Adult	 	 	 	 	 
captors, our	-1	 	Adult	 	 	 	 	 
centurion at crucifixion	1	Male	Adult	 	 	 	 	 
centurion at Paul's flogging	1	Male	Adult	 	 	Centurion	 	 
centurion in the barracks	1	Male	Adult	 	 	 	 	 
centurion on ship with Paul	1	Male	Adult	 	 	 	 	 
centurion summoned by Pilate	1	Male	Adult	 	 	Officer	 	 
centurion with great faith	1	Male	Adult	 	 	 	 	 
chariot commanders of Aram	-1	Male	Adult	 	 	Commander	 	 
chief baker of Egypt	1	Male	Adult	 	 	Chief Baker	 	 
chief cupbearer of Egypt	1	Male	Adult	 	 	Cupbearer	 	 
chief official	1	Male	 	 	 	Official	 	 
chief priests	-1	Male	 	 	 	 	 	 
chiefs of 10 tribes	10	Male	 	 	not Reuben, Gad, half tribe of Manasseh	 	 	 
children	-1	 	Child	 	 	 	 	 
children of excellent wife	-1	 	Child	 	 	 	 	 
children of God	-1	Either	Child	 	could be spoken by any age actor, but a child's voice might provide best dramatic effect	 	 	 
children of Zion (Jerusalem)	-1	 	Child	 	 	 	 	 
citizens of Shechem	-1	 	Adult	 	 	 	 	 
city clerk of Ephesus	1	Male	Adult	 	 	 	 	 
Claudius	1	Male	Adult	 	 	 		93.214a|93.214b
Cleopas	1	Male	Adult	 	 	 		93.215
Cleopas' companion (on road to Emmaus)	1	Either	Adult	 	 	 	 	 
collectors of temple tax	-1	Male	Adult	 	 	Tax Collector	 	 
commander of Roman troops in Jerusalem	1	Male	Adult	 	 	 	 	 
commander of Yahweh's army	1	Male	Adult	 	 	Angel	 	 
company of the prophets	-1	 	Adult	 	 	 	 	 
company of the prophets (Bethel)	-1	 	Adult	 	 	 	 	 
company of the prophets (Jericho)	-1	 	Adult	 	 	 	 	 
company of the prophets, one of (young man)	1	Male	YoungAdult	 	 	Prophet (young)	 	 
conquerors of beast, image & his name	-1	 	Adult	 	 	 	 	 
conquerors of Lo Debar	-1	Male	Adult	 	 	 	 	 
Cornelius	1	Male	Adult	 	 	 		93.219
council of elders	-1	Male	Elder	 	 	 	 	 
craftsman	1	Male	Adult	 	 	 	 	 
craftsmen and workmen	-1	Male	Adult	 	 	 	 	 
Cretan prophet	1	Male	 	 	 	 	 	 
criminal on cross, insulting	1	Male	Adult	 	 	Man (Crucified) Bad	 	 
criminal on cross, repentant	1	Male	Adult	 	 	Man (Crucified) Good	 	 
crippled man	1	Male	Adult	 	 	 	 	 
crowd	-1	 	Adult	 	 	 	 	 
crowd after mute healed	-1	 	Adult	 	 	 	 	 
crowd at Festival of Tabernacles in Jerusalem, many in the	-1	 	Adult	 	 	 	 	 
crowd at Festival of Tabernacles in Jerusalem, others	-1	 	Adult	 	 	 	 	 
crowd at Festival of Tabernacles in Jerusalem, some	-1	 	Adult	 	 	 	 	 
crowd at Festival of Tabernacles in Jerusalem, still others	-1	 	Adult	 	 	 	 	 
crowd at Festival of Tabernacles in Jerusalem, the	-1	 	Adult	 	 	 	 	 
crowd at Jericho	-1	 	Adult	 	 	 	 	 
crowd before Pilate	-1	 	Adult	 	 	 	 	 
crowd in Jerusalem	-1	 	Adult	 	 	 	 	 
crowd in Jerusalem on Pentecost	-1	 	Adult	 	 	 	 	 
crowd in Lystra	-1	 	Adult	 	 	 	 	 
crowd near sea of Galilee	-1	 	Adult	 	 	 	 	 
crowd preparing for Passover Feast	-1	 	Adult	 	 	 	 	 
crowd preparing for Passover Feast, others	-1	 	Adult	 	 	 	 	 
crowd, large (witnessed healing of widow's son)	-1	 	Adult	 	 	 	 	 
crowd, many in the	-1	 	Adult	 	 	 	 	 
crowd, some in	-1	 	Adult	 	 	 	 	 
cured man, blind from birth	1	Male	Adult	 	 	 	 	 
Cyrus, king of Persia	1	Male	Adult	 	 	 	003268001001000	
Dan	1	Male	Adult	 	 	Son of Jacob	001689001002000|001689001001000	
Daniel	1	Male	Adult	 	 	 	001695001002000|001695001001000|001695001003000|001695001004000	93.90
Danites	-1	 	Adult	 	 	 	 	 
Darius, king of Medes and Persians	1	Male	Adult	 	 	 	001717001001000	
Dathan	1	Male	 	 	son of Eliab (Reubenite)	 	001733001001000	
daughter of Zion	-1	Female	 	 	 	 	 	 
daughters of Philip the evangelist	4	Female	 	 	 	 	 	 
daughters of Zelophehad	-1	Female	 	 	 	Daughter of Zelophehad (female)	 	 
David	1	Male	Adult	 	 	 	001591001001000	93.91|2.26 93.91
David (old)	1	Male	Elder	 	 	 	001591001001000	93.91|2.26 93.91
David's enemies	-1	Male	 	 	 	 	 	 
David's men	-1	Male	 	 	 	 	 	 
David's supporters	-1	 	 	 	 	 	 	 
Deborah	1	Female	 	 	prophetess	 	001544002001000|001544002002000	
Delaiah	1	Male	 	 	son of Shemaiah	 	001661001002000|001661001003000	
Delilah	1	Female	 	 	 	 	001663001001000	
Demetrius the silversmith	1	Male	 	 	 	 		93.93a
demons (Legion)	-1	Male	 	 	 	Man (Legion) Possessed	 	 
demons coming out of people	-1	 	 	 	 	 	 	 
disciple who wanted to bury his father	1	Male	 	 	 	 	 	 
disciples	11	Male	 	 	Not Judas Iscariot (after Acts 1:23, this could include Matthias)	 	 	 
disciples (but not Thomas)	10	Male	 	 	 	 	 	 
disciples in Ephesus, some	-1	 	 	 	 	 	 	 
disciples of John the Baptist	-1	Male	 	 	 	Disciple of John	 	 
disciples, some	-1	 	 	 	 	 	 	 
disciples, two men (from Joppa)	2	Male	 	 	 	 	 	 
Doeg the Edomite	1	Male	 	 	 	 	001586001001000|	
donkey (female)	1	Female	 	 	 	 	 	 
dream	1	Male	 	 	 	 	 	 
dreamers	-1	Either	 	 	 	 	 	 
drunkard	1	Male	 	 	 	 	 	 
each one	1	 	 	 	 	 	 	 
eagle crying with loud voice	1	PreferMale	 	 	 	 	 	 
ear	1	Neuter	 	 	 	 	 	 
Ebed-Melech (official of king of Judea)	1	Male	 	 	Ethiopian eunuch	 	 	 
Edom	1	Male	 	 	 	 	000114001001000|000114001002000	
Edomites	-1	 	 	 	 	 	 	 
Eglon, king of Moab	1	Male	 	 	 	 	005231001001000|005231001002000	
Egyptian (slave of Amalekite)	1	 	 	 	 	 	 	 
Egyptians	-1	 	 	 	 	 	 	 
Egyptians, all the	-1	 	 	 	 	 	 	 
Ehud, Israelite deliverer	1	Male	 	 	 	 	000163001001000|000246001001000	
eighty other priests	80	Male	 	 	 	 	 	 
Ekron, people of	-1	 	 	 	 	 	005635001001000	
Elasah, son of Shaphan	1	Male	 	 	 	 	 	 
elders	-1	Male	Elder	 	 	 	 	 
elders in Shechem	-1	Male	Elder	 	 	Elder	 	 
elders of Israel	-1	Male	Elder	 	 	 	 	 
elders of Jabesh	-1	Male	Elder	 	 	Man of Jabesh	 	 
elders of the Jews	-1	Male	Elder	 	 	 	 	 
elders of the land	-1	Male	Elder	 	 	Elder	 	 
elders of the town	-1	Male	Elder	 	 	 	 	 
elders, Ephesian	-1	Male	Elder	 	 	 	 	 
elders, one of the	1	Male	Elder	 	 	 	 	 
Eleazar the priest, son of Aaron	1	Male	Adult	 	 	 	000464001001000|000464001002000|000464001003000|000464001004000|000464001005000	93.107
Eleven	11	Male	Adult	 	This should be spoken by one of the 11 disciples (excluding Judas Iscariot). The wording suggests that it was not Simon Peter.	 	 	 
Eli	1	Male	Elder	 	 	 	005454001001000	12.3
Eliab, David's brother	1	Male	 	 	 	 	000409001001000|000409001002000|000409001003000|000409001004000|000409001006000|000409001005000|000409001003000 001220001001000	
Eliakim	1	Male	 	 	 	 	000435001001000|000435001002000|000435001003000	93.108a|93.108b
Eliezer the prophet, son of Dodavahu	1	Male	 	 	 	 	000425001001000|000425001002000|000425001005000|000425001006000|000425001007000	93.109
Elihu, son of Barakel	1	Male	 	 	 	 	000416001001000|000416001003000|000416001004000|000416001005000	
Elijah	1	Male	 	 	 	 	000415001001000	93.142
Eliphaz the Temanite	1	Male	 	 	 	 	000428001001000|000428001002000	
Elisha	1	Male	Adult	 	 	 	000441001001000	93.112
Elisha (old)	1	Male	Elder	 	 	 	000441001001000	93.112
Elisha's messenger	1	 	 	 	possibly Gehazi, but not named in this passage	 	 	 
Elishama	1	Male	 	 	scribe	 	000440001001000|000440001003000|000440001004000|000440001005000|000440001006000	
Elizabeth	1	Female	Elder	 	 	 		93.111
